Indicator ID,Indicator name,Country,Region,Ocean,Resp,Type,Year,Score
2,Distant water vessels under several RFMOs,Australia,Oceania,East Indian Ocean and Western Pacific,Flag,Vulnerability,2023,5
2,Distant water vessels under several RFMOs,Bahamas,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Bahrain,Middle East,West Indian Ocean,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Bangladesh,Asia,East Indian Ocean,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Barbados,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Belgium,Europe,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Belize,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Benin,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Bosnia & Herzegovina,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Brazil,South America,West Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Brunei Darussalam,Asia,Western Pacific,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Bulgaria,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Cambodia,Asia,Western Pacific,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Cameroon,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Canada,North America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,4
2,Distant water vessels under several RFMOs,Cape Verde,Africa,East Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Chile,South America,Eastern Pacific,Flag,Vulnerability,2023,3
2,Distant water vessels under several RFMOs,China,Asia,Western Pacific,Flag,Vulnerability,2023,5
2,Distant water vessels under several RFMOs,Colombia,South America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Comoros Isl.,Africa,West Indian Ocean,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Congo (DRC),Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,"Congo, R. of",Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Cook Islands,Oceania,Western Pacific,Flag,Vulnerability,2023,3
2,Distant water vessels under several RFMOs,Costa Rica,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Cote d'Ivoire,Africa,East Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Croatia,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Cuba,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Cyprus,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,3
2,Distant water vessels under several RFMOs,Denmark,Europe,East Atlantic,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Djibouti,Africa,West Indian Ocean,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Dominica,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Dominican Republic,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Ecuador,South America,Eastern Pacific,Flag,Vulnerability,2023,3
2,Distant water vessels under several RFMOs,Egypt,Africa,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,El Salvador,Caribbean & Central America,Eastern Pacific,Flag,Vulnerability,2023,3
